idx,y_pred,y_true,residual,fold
0,4.325958581316397,5.698970004336019,1.373011423019622,1
1,4.426802469225524,5.698970004336019,1.272167535110495,10
2,4.617877066983996,5.698970004336019,1.0810929373520226,9
3,4.473914546656957,5.698970004336019,1.225055457679062,8
4,4.401415587101024,5.698970004336019,1.2975544172349949,7
5,4.4380034147095255,5.698970004336019,1.2609665896264932,5
6,4.390239999630387,5.698970004336019,1.308730004705632,4
7,4.364173973605784,5.698970004336019,1.3347960307302351,3
8,4.487824358430198,5.698970004336019,1.2111456459058205,2
9,4.551985900339671,3.049218022670181,-1.5027678776694904,10
10,4.526407837380129,3.049218022670181,-1.4771898147099476,8
11,3.8179509238019795,3.049218022670181,-0.7687329011317985,7
12,4.793143540243398,3.049218022670181,-1.7439255175732171,5
13,4.457059880159131,3.049218022670181,-1.4078418574889495,4
14,4.518753158349742,3.049218022670181,-1.4695351356795605,3
15,4.510866924715741,3.049218022670181,-1.4616489020455603,2
16,4.5821286613128285,3.049218022670181,-1.5329106386426474,6
17,4.338637995097171,3.049218022670181,-1.2894199724269901,1
18,4.526407837380129,2.903089986991944,-1.6233178503881844,8
19,4.518753158349742,2.903089986991944,-1.6156631713577974,3
20,4.338637995097171,2.903089986991944,-1.435548008105227,1
21,4.551985900339671,2.903089986991944,-1.6488959133477272,10
22,3.8179509238019795,2.903089986991944,-0.9148609368100353,7
23,4.457059880159131,2.903089986991944,-1.5539698931671864,4
24,4.556833156416877,2.903089986991944,-1.6537431694249327,9
25,4.510866924715741,2.903089986991944,-1.6077769377237972,2
26,4.5821286613128285,2.903089986991944,-1.6790386743208843,6
27,5.16247879257988,2.9542425094393248,-2.2082362831405553,1
28,5.315065782690665,2.9542425094393248,-2.36082327325134,8
29,5.3106357820844226,2.9542425094393248,-2.356393272645098,3
30,5.2799750417133895,2.9542425094393248,-2.3257325322740647,2
31,5.193820438589071,2.9542425094393248,-2.2395779291497466,9
32,5.227356890229205,2.9542425094393248,-2.2731143807898806,4
33,5.3242746054420955,2.9542425094393248,-2.3700320960027708,10
34,4.898005265551325,2.9542425094393248,-1.9437627561120006,7
35,5.244601214157771,2.9542425094393248,-2.290358704718446,6
36,5.76307172752534,3.90848501887865,-1.8545867086466896,2
37,5.694398534836232,3.90848501887865,-1.7859135159575819,4
38,5.8011379805514025,3.90848501887865,-1.8926529616727525,10
39,5.781915704586008,3.90848501887865,-1.873430685707358,3
40,5.708107357972064,3.90848501887865,-1.7996223390934136,1
41,5.375167998412787,3.90848501887865,-1.4666829795341374,7
42,5.663475805295014,3.90848501887865,-1.7549907864163639,9
43,5.851931870180223,3.90848501887865,-1.9434468513015735,6
44,5.833889990716585,3.90848501887865,-1.9254049718379354,5
45,5.088193142615598,3.322219294733919,-1.7659738478816789,4
46,4.8875016665837645,3.322219294733919,-1.5652823718498454,7
47,4.976291468918626,3.322219294733919,-1.6540721741847073,1
48,5.109946910394228,3.322219294733919,-1.7877276156603092,8
49,5.120496536381145,3.322219294733919,-1.798277241647226,6
