Fold,R2,RMSE,MAE
1,-3932318601534.625977,1977174.991204,152999.123563
2,0.313003,1.054012,0.773362
3,0.379462,1.046178,0.770867
4,-11546750258558.031250,4283299.585246,332449.215280
5,-0.115510,1.346735,0.872906
6,0.216982,1.180795,0.829555
7,-19188425878615.406250,4867305.058349,377776.836950
8,0.446469,0.940709,0.681351
9,-5617533787045.647461,2637365.383541,204700.160511
10,0.505373,0.856355,0.672710
