feature,importance
fp_170,0.022847702471568622
fp_264,0.0124234791810921
fp_969,0.011023481531027668
fp_247,0.009020493631343796
fp_486,0.005915469845353327
fp_518,0.004934124435290954
fp_273,0.004283519118649981
fp_545,0.0037149305412790936
fp_325,0.00365166208710862
fp_931,0.003531619931668328
fp_22,0.0034677399573840193
fp_288,0.0032483131526324207
fp_645,0.003180118127031062
fp_757,0.0031373297357343843
fp_940,0.003114286438658009
fp_432,0.0027797214013956296
fp_722,0.0027714056021058476
fp_301,0.0025425384476705838
fp_176,0.0022625300357752343
fp_29,0.002184513407241906
fp_392,0.0021585941401649046
fp_1007,0.0020890731721375454
fp_924,0.002083649819744271
fp_987,0.002082137633345982
fp_161,0.0020723847605207514
fp_900,0.002057327332377268
fp_408,0.00200021835446893
fp_914,0.0019706315565667597
fp_715,0.0019695459179533193
fp_567,0.0018813701864135556
fp_730,0.0018675892976181552
fp_788,0.0018594447451070085
fp_295,0.0017935718906871068
fp_132,0.0017643961049456757
fp_985,0.0017275579328782653
fp_510,0.001699978570595173
fp_736,0.0016346278117381208
fp_686,0.0015911193754972852
fp_643,0.001555474511253685
fp_200,0.001550184160178303
fp_360,0.0015488238399882226
fp_792,0.0015315045791362003
fp_978,0.0014824636702476801
fp_8,0.0014737914126050188
fp_303,0.0014464418420154113
fp_125,0.0014347280363013915
fp_799,0.0014208963876068848
fp_156,0.001410833287890212
fp_522,0.0013797331291675041
fp_395,0.0013196965194133825
fp_615,0.0012948205492126607
fp_662,0.0012904667681346016
fp_937,0.0012800805854885854
fp_734,0.0012799121312223939
fp_933,0.0012792407767915014
fp_879,0.0012638571708436408
fp_888,0.0012363436251915717
fp_136,0.001226389816693474
fp_461,0.0012181882718210412
fp_342,0.0012123103577581173
fp_913,0.001190418961173645
fp_904,0.0011893523327000555
fp_598,0.0011680204691322138
fp_745,0.0011422283532040334
fp_485,0.0011094357756483264
fp_379,0.0010922876571115348
fp_820,0.0010908818985958858
fp_1014,0.0010723805039292156
fp_700,0.0010590299512492352
fp_684,0.00104061499523852
fp_748,0.0010144530652797634
fp_1,0.001009696245481695
fp_492,0.0010011481899160346
fp_277,0.0009982356052862461
fp_426,0.0009921926579137819
fp_380,0.000987300041340855
fp_80,0.0009870535914277556
fp_698,0.0009553710716806108
fp_186,0.0009413312547998709
fp_275,0.0009404486660189671
fp_348,0.0009369355094117404
fp_217,0.0009300426552320995
fp_632,0.0009272782697902105
fp_113,0.0009114655827030527
fp_236,0.0008782639846722339
fp_721,0.0008760416598180276
fp_258,0.0008662565999946858
fp_740,0.0008571791109284188
fp_355,0.0008361172645296788
fp_774,0.0008225493453646205
fp_790,0.0008220364559485382
fp_51,0.0008164821859984794
fp_222,0.000816107851191139
fp_481,0.0008153534243118266
fp_381,0.0008023360100684607
fp_912,0.0007869388596842386
fp_680,0.0007697554777088333
fp_404,0.0007687235737979581
fp_858,0.0007661299372351493
fp_658,0.0007606790068116931
fp_725,0.0007571161446039753
fp_282,0.0007486022220660083
fp_979,0.0007348039945312857
fp_304,0.0007295623834150166
fp_519,0.0007290933987353032
fp_765,0.0007247718360169242
fp_172,0.0007156102712086332
fp_974,0.0007110215175212709
fp_76,0.0007106864489236586
fp_245,0.0006869660657573884
fp_462,0.000673850758262795
fp_468,0.0006734736908845962
fp_994,0.000659425626484611
fp_473,0.0006568189227968757
fp_9,0.0006528067847312192
fp_152,0.0006523755186291447
fp_804,0.000643675056920201
fp_159,0.0006350051992472849
fp_843,0.0006287802993020786
fp_94,0.0006269524935843762
fp_975,0.0006246203441857889
fp_705,0.0006157253935743734
fp_296,0.0006126698792398799
fp_841,0.0006109664880580068
fp_600,0.0006015032492389993
fp_1022,0.0005941981177945754
fp_393,0.0005890037432256135
fp_17,0.0005842264057422053
fp_455,0.0005825004646405341
fp_430,0.0005757344565951005
fp_151,0.0005746007562405619
fp_846,0.0005705483876337514
fp_760,0.0005704576929557836
fp_625,0.000568811563237126
fp_73,0.000554050843304621
fp_261,0.0005473700274082671
fp_449,0.0005469813620466501
fp_241,0.0005434608906991322
fp_1019,0.0005395358869536348
fp_534,0.0005376369119470481
fp_266,0.0005363804135437467
fp_243,0.0005330892964801493
fp_141,0.0005297123812218696
fp_142,0.0005277249347294677
fp_276,0.0005210021400273379
fp_91,0.0005200262856361992
fp_464,0.000509004984094541
fp_902,0.0005021666406433867
fp_958,0.000501186832154521
fp_421,0.0004989079278894026
fp_697,0.00048501026407545835
fp_694,0.0004815594251423749
fp_300,0.00048104656365506316
fp_886,0.0004746805412825683
fp_641,0.00047234759621888055
fp_90,0.00046595281215670024
fp_749,0.00046290008885195854
fp_107,0.0004540218431976162
fp_238,0.00044612504407159914
fp_267,0.0004350050804299288
fp_501,0.00042918178007187444
fp_399,0.0004264018177882245
fp_390,0.00042515755952350355
fp_739,0.0004239356653881865
fp_851,0.0004121792304775496
fp_819,0.00040996443295980843
fp_982,0.0004097461206982178
fp_377,0.00040589837597380105
fp_146,0.00040575513386981177
fp_854,0.00040279970213558114
fp_329,0.000401681477777327
fp_726,0.00039984414604827824
fp_761,0.0003909721457303839
fp_960,0.0003872364906210124
fp_153,0.0003783896291689737
fp_180,0.00037270077589589555
fp_531,0.00037140381443472313
fp_547,0.000371373830211752
fp_614,0.0003695114750050466
fp_570,0.0003545952587261092
fp_58,0.0003398987299919054
fp_541,0.0003313697809656069
fp_679,0.00033100549081017673
fp_310,0.00032974357170048043
fp_917,0.00032834096552454285
fp_48,0.00032562370569296786
fp_533,0.00032442747336706155
fp_928,0.0003184694059730875
fp_872,0.00031767014383721204
fp_74,0.00031423200222243655
fp_661,0.00031232712983512154
fp_922,0.000309078308329469
fp_638,0.00030760218436947094
fp_972,0.00030742400528269707
fp_285,0.00030682004407535103
fp_532,0.0003057176973206399
fp_586,0.0003027906573814687
fp_294,0.00030128409639690323
fp_234,0.00029918657602558965
fp_926,0.0002984449239910369
fp_160,0.0002974382037466139
fp_240,0.00029658259268733334
fp_350,0.0002933071152488087
fp_659,0.0002927697374820792
fp_96,0.0002893457260097376
fp_371,0.000281999854307724
fp_100,0.0002775485225529839
fp_1017,0.000275813324700247
fp_64,0.0002733966772059837
fp_476,0.00027332750192045064
fp_260,0.0002704433649270199
fp_114,0.0002699691014335648
fp_859,0.0002694238205805721
fp_33,0.00026916077605337874
fp_191,0.00026522440601891575
fp_56,0.0002606869478816165
fp_795,0.0002564793553703537
fp_585,0.00025027140485642805
fp_648,0.00025022283241474816
fp_762,0.0002497198142022095
fp_341,0.0002449225531681254
fp_574,0.00024450744059916206
fp_312,0.0002444091150950012
fp_597,0.00023800244129282833
fp_290,0.00023795645069193405
fp_812,0.00023693889383957778
fp_887,0.00023477295477259964
fp_880,0.000233513435876187
fp_429,0.0002315965860395508
fp_630,0.00023159619135543208
fp_693,0.00023150654631862722
fp_154,0.00023019259242097468
fp_422,0.00022741990560051217
fp_601,0.00022705943321905676
fp_529,0.0002242441139138407
fp_857,0.00022269883687175973
fp_13,0.00021080201830883105
fp_418,0.00020713271379581012
fp_991,0.0002060800957320974
fp_870,0.00020504431557221147
fp_552,0.00020433218693389766
fp_617,0.0002029298690042869
fp_537,0.0002003026639851302
fp_869,0.00019697391603715753
fp_564,0.0001967389002187181
fp_52,0.00019530601523191083
fp_818,0.00019397591065617448
fp_771,0.00018989665881805618
fp_893,0.00018837057664593536
fp_43,0.00018526877371884964
fp_509,0.00018473124661807505
fp_230,0.0001784709581015287
fp_674,0.0001774371336770053
fp_781,0.00017427906800107084
fp_895,0.00017259924018708794
fp_103,0.00016417416501345316
fp_231,0.00016321934096937828
fp_364,0.00016188695107279826
fp_372,0.00016187104406223396
fp_256,0.00015984264371932122
fp_712,0.00015646693727089378
fp_897,0.00015532082358665766
fp_671,0.00015371396856357357
fp_189,0.0001532052548854912
fp_588,0.00015257380998993098
fp_901,0.00015210634313920224
fp_210,0.00015162701887996288
fp_175,0.00014876622952052497
fp_1005,0.0001479386907432101
fp_453,0.00014029307839216187
fp_582,0.00013861475983073523
fp_497,0.0001382851775198146
fp_193,0.00013714597330297674
fp_620,0.0001341538347491289
fp_838,0.0001332330768500034
fp_825,0.00013173089311119268
fp_566,0.0001305661926674362
fp_423,0.00013030256404521489
fp_716,0.00013027490990801248
fp_352,0.0001285402810773717
fp_28,0.000128365474328751
fp_12,0.00012604451137249173
fp_62,0.0001244605007812205
fp_10,0.00012434185768233074
fp_988,0.00012392974159262105
fp_116,0.0001197541088766907
fp_280,0.00011929297187298626
fp_828,0.00011676139499661176
fp_833,0.00011002699768782875
fp_106,0.00010989343255194406
fp_849,0.00010413645160690654
fp_39,0.00010383726470104548
fp_416,0.00010330393199221577
fp_634,0.00010235007155658948
fp_108,0.00010220106113774108
fp_144,0.00010169935257323682
fp_428,9.965163792899912e-05
fp_320,9.590967085454372e-05
fp_951,9.312939696856092e-05
fp_682,9.202955323768247e-05
fp_563,9.188174704093388e-05
fp_970,9.113422433829622e-05
fp_862,9.043677857526467e-05
fp_494,8.874352044017098e-05
fp_328,8.840428101036801e-05
fp_938,8.806574430156867e-05
fp_133,8.747855111992386e-05
fp_628,8.520217132647056e-05
fp_905,8.421013704459356e-05
fp_19,8.343759646317617e-05
fp_239,8.143587136284491e-05
fp_431,8.139881102107172e-05
fp_330,8.137749916767856e-05
fp_115,7.90440906450307e-05
fp_936,7.749582060151416e-05
fp_618,7.612236121973259e-05
fp_823,7.371171282883892e-05
fp_211,7.14079762860087e-05
fp_927,6.941183579767252e-05
fp_997,6.860494608674772e-05
fp_555,6.428048832870514e-05
fp_877,6.423757559216314e-05
fp_414,6.128390983389798e-05
fp_548,6.095572815378869e-05
fp_70,6.050089946609827e-05
fp_293,5.987110753651326e-05
fp_1023,5.591050266380293e-05
fp_225,5.307419978494155e-05
fp_704,5.266269643421362e-05
fp_971,5.228539448814962e-05
fp_411,5.140683313160643e-05
fp_1004,5.037357693381539e-05
fp_572,4.838138761339428e-05
fp_155,4.627580672358356e-05
fp_981,4.511832200724264e-05
fp_41,4.504181733142598e-05
fp_576,4.30303501652074e-05
fp_1002,4.255211774810697e-05
fp_610,3.944421879442661e-05
fp_565,3.782024090069891e-05
fp_635,3.780033762192936e-05
fp_747,3.682048150435158e-05
fp_122,3.641575481253545e-05
fp_910,3.565271952418181e-05
fp_550,3.498109716447706e-05
fp_59,3.458532692134364e-05
fp_775,3.456552174877503e-05
fp_196,3.3046979673445606e-05
fp_388,3.093434321872479e-05
fp_538,2.9303863152219113e-05
fp_457,2.8815829220230073e-05
fp_110,2.769908365498619e-05
fp_366,2.7362951801812584e-05
fp_389,2.6202696556776316e-05
fp_248,2.560167062591878e-05
fp_768,2.5377915205215816e-05
fp_669,2.4049139930626405e-05
fp_551,2.3609451977713025e-05
fp_822,2.32112421519326e-05
fp_557,2.2694960591340686e-05
fp_744,2.122948904877964e-05
fp_112,1.9983176011895144e-05
fp_794,1.9830481486116102e-05
fp_802,1.7980505595605046e-05
fp_89,1.6235252282637004e-05
fp_124,1.5095367664264004e-05
fp_701,1.2380228825836782e-05
fp_525,1.1872382222299915e-05
fp_516,9.537452518137979e-06
fp_508,9.129228327620086e-06
fp_646,8.699871081496725e-06
fp_968,8.049071453297696e-06
fp_607,7.427249162184069e-06
fp_874,6.7025459423719624e-06
fp_865,6.223663382221023e-06
fp_830,5.816106623790507e-06
fp_711,4.363234811899375e-06
fp_714,4.0755312230356114e-06
fp_512,3.5714071879966445e-06
fp_742,2.13714270752563e-06
fp_4,2.1246496718085872e-06
fp_436,1.868751141553826e-06
fp_1011,1.0551358726629267e-06
fp_119,1.9266172350818068e-07
