idx,y_pred,y_true,residual,fold
0,4.010269829389955,5.698970004336019,1.6887001749460637,1
1,4.01714595829298,5.698970004336019,1.6818240460430385,10
2,4.149603042160606,5.698970004336019,1.5493669621754131,9
3,3.936050582839163,5.698970004336019,1.7629194214968558,8
4,3.9773775465190084,5.698970004336019,1.7215924578170103,7
5,4.073420262061856,5.698970004336019,1.6255497422741625,5
6,4.084018375191613,5.698970004336019,1.6149516291444055,4
7,3.8438647527754766,5.698970004336019,1.8551052515605422,3
8,4.512712957019537,5.698970004336019,1.1862570473164817,2
9,4.008199670899841,3.049218022670181,-0.9589816482296598,10
10,3.928852776711984,3.049218022670181,-0.879634754041803,8
11,3.837788805538099,3.049218022670181,-0.788570782867918,7
12,4.25031015917498,3.049218022670181,-1.2010921365047986,5
13,3.876988454848599,3.049218022670181,-0.8277704321784181,4
14,3.9508775361907364,3.049218022670181,-0.9016595135205554,3
15,3.9241825527485577,3.049218022670181,-0.8749645300783766,2
16,4.097153571166324,3.049218022670181,-1.0479355484961426,6
17,3.8441061021921987,3.049218022670181,-0.7948880795220177,1
18,3.928852776711984,2.903089986991944,-1.0257627897200399,8
19,3.9508775361907364,2.903089986991944,-1.0477875491987922,3
20,3.8441061021921987,2.903089986991944,-0.9410161152002545,1
21,4.008199670899841,2.903089986991944,-1.1051096839078967,10
22,3.837788805538099,2.903089986991944,-0.9346988185461549,7
23,3.876988454848599,2.903089986991944,-0.9738984678566549,4
24,3.9877720934326546,2.903089986991944,-1.0846821064407104,9
25,3.9241825527485577,2.903089986991944,-1.0210925657566134,2
26,4.097153571166324,2.903089986991944,-1.1940635841743794,6
27,4.260499329136629,2.9542425094393248,-1.3062568196973046,1
28,4.553008724451825,2.9542425094393248,-1.5987662150125002,8
29,4.492529114611242,2.9542425094393248,-1.5382866051719168,3
30,4.536954314809753,2.9542425094393248,-1.5827118053704283,2
31,4.513595089726192,2.9542425094393248,-1.5593525802868675,9
32,4.575699487942559,2.9542425094393248,-1.6214569785032347,4
33,4.577091397394626,2.9542425094393248,-1.6228488879553011,10
34,4.42594621483939,2.9542425094393248,-1.4717037054000657,7
35,4.532137158910518,2.9542425094393248,-1.5778946494711934,6
36,5.033568191375533,3.90848501887865,-1.125083172496883,2
37,4.819408047652777,3.90848501887865,-0.910923028774127,4
38,4.919601866944411,3.90848501887865,-1.0111168480657606,10
39,5.01103663587553,3.90848501887865,-1.1025516169968799,3
40,5.036367127647054,3.90848501887865,-1.1278821087684041,1
41,4.9573555141451395,3.90848501887865,-1.0488704952664896,7
42,5.064695756479342,3.90848501887865,-1.1562107376006918,9
43,5.076817544836557,3.90848501887865,-1.1683325259579074,6
44,5.0526829512701825,3.90848501887865,-1.1441979323915326,5
45,4.347862854825401,3.322219294733919,-1.0256435600914817,4
46,4.2154630197824785,3.322219294733919,-0.8932437250485594,7
47,4.264733989393186,3.322219294733919,-0.9425146946592666,1
48,4.400925991996693,3.322219294733919,-1.0787066972627737,8
49,4.276097498552261,3.322219294733919,-0.9538782038183418,6
50,4.372956363582166,3.322219294733919,-1.0507370688482474,2
51,4.337440255577526,3.322219294733919,-1.0152209608436071,10
52,4.206314135384326,3.322219294733919,-0.8840948406504068,9
53,4.316806313925725,3.322219294733919,-0.994587019191806,3
54,5.13978627064219,5.301029995663981,0.16124372502179085,7
55,5.172485446685413,5.301029995663981,0.12854454897856815,1
56,5.307565825884198,5.301029995663981,-0.006535830220216532,6
57,5.238938978317498,5.301029995663981,0.062091017346483035,2
58,5.167975462630676,5.301029995663981,0.13305453303330506,4
59,5.3008427906173265,5.301029995663981,0.00018720504665470372,8
60,5.163097338036986,5.301029995663981,0.1379326576269957,9
61,5.233991666413304,5.301029995663981,0.06703832925067754,10
62,5.182226206356607,5.301029995663981,0.1188037893073739,3
63,4.97184628833922,4.086359830674748,-0.8854864576644719,3
64,5.023559565046125,4.086359830674748,-0.9371997343713767,4
65,4.972572947619168,4.086359830674748,-0.8862131169444192,9
66,5.015394051013332,4.086359830674748,-0.9290342203385835,2
67,5.0779193930730235,4.086359830674748,-0.9915595623982751,8
68,5.052424013072036,4.086359830674748,-0.9660641823972878,6
69,5.073847053423537,4.086359830674748,-0.987487222748789,1
70,5.035983869638771,4.086359830674748,-0.9496240389640223,10
71,4.800120553644593,4.086359830674748,-0.7137607229698446,7
72,5.496990095422791,6.035709837827862,0.5387197424050711,10
73,5.569087342027831,6.035709837827862,0.46662249580003134,5
74,5.647690015041315,6.035709837827862,0.38801982278654723,4
75,5.591640418234568,6.035709837827862,0.44406941959329416,2
76,5.604590489177582,6.035709837827862,0.43111934865028,8
77,5.67900350359983,6.035709837827862,0.3567063342280319,6
78,5.453777482175897,6.035709837827862,0.5819323556519649,3
79,5.6575219492715485,6.035709837827862,0.37818788855631347,7
80,5.562648226005625,6.035709837827862,0.4730616118222368,1
81,4.654233837902478,5.954242509439325,1.3000086715368475,10
82,4.745480207859201,5.954242509439325,1.2087623015801245,5
83,4.652280823608261,5.954242509439325,1.3019616858310643,4
84,4.638770150708415,5.954242509439325,1.3154723587309105,2
85,4.390098600136496,5.954242509439325,1.564143909302829,9
86,4.722952442274619,5.954242509439325,1.2312900671647062,8
87,4.521613739291513,5.954242509439325,1.4326287701478124,3
88,4.579061107760096,5.954242509439325,1.375181401679229,1
89,4.512713305685192,5.954242509439325,1.4415292037541336,6
90,5.465583907070078,3.949390006644913,-1.5161939004251654,2
91,5.477075997769874,3.949390006644913,-1.5276859911249612,5
92,5.491510077259109,3.949390006644913,-1.5421200706141964,1
93,5.585783055366269,3.949390006644913,-1.6363930487213563,3
94,5.544607933955716,3.949390006644913,-1.5952179273108036,6
95,5.361148549228537,3.949390006644913,-1.4117585425836245,9
