idx,y_pred,y_true,residual
0,5.198931,5.698970,-0.500039
2,3.923961,2.903090,1.020871
3,4.996600,2.954243,2.042358
4,5.326332,3.908485,1.417847
5,4.751543,3.322219,1.429324
6,4.985149,5.301030,-0.315881
7,5.155875,4.086360,1.069515
9,5.011064,5.954243,-0.943179
10,5.439184,3.949390,1.489794
11,4.532418,5.742725,-1.210307
12,4.227608,3.661813,0.565795
13,4.861366,3.505150,1.356216
14,4.042790,5.094820,-1.052031
15,4.848622,3.397940,1.450682
16,5.182817,3.832509,1.350308
17,5.443115,5.602060,-0.158945
18,4.290210,5.238046,-0.947836
19,3.941796,3.079181,0.862614
20,3.585579,3.823474,-0.237895
21,3.838849,3.838849,0.000000
22,4.310778,3.505150,0.805628
23,4.771657,6.041393,-1.269736
24,5.156118,3.881385,1.274733
25,5.033636,5.576341,-0.542705
27,6.497251,6.397940,0.099311
28,6.296644,6.707570,-0.410927
29,6.752899,6.397940,0.354959
30,5.644378,6.558709,-0.914330
31,5.644215,6.107549,-0.463335
32,5.633732,4.193681,1.440051
33,6.257408,5.929419,0.327990
34,6.160784,6.531479,-0.370695
35,6.320550,6.414973,-0.094424
36,6.182052,6.372912,-0.190860
38,5.905431,6.325844,-0.420413
39,7.450318,7.000000,0.450318
40,6.623152,6.875061,-0.251910
41,6.647512,6.835056,-0.187544
42,6.881008,7.079181,-0.198173
43,5.458861,4.072985,1.385876
44,5.605185,5.113943,0.491242
45,4.075053,5.096910,-1.021857
46,5.348703,5.342423,0.006281
47,6.062193,6.240549,-0.178356
48,4.303311,5.278754,-0.975443
49,6.026960,6.255273,-0.228313
50,5.273940,5.023541,0.250400
51,5.816808,6.313867,-0.497059
52,6.166970,6.361728,-0.194758
54,5.761574,6.649335,-0.887761
55,6.220812,6.041393,0.179419
56,5.597847,5.901295,-0.303448
57,5.293036,6.447158,-1.154122
58,5.926795,4.681241,1.245553
59,6.074009,5.815046,0.258963
60,5.327536,4.992819,0.334718
61,4.184698,3.204120,0.980578
62,6.130031,6.875061,-0.745030
63,6.730148,6.890980,-0.160832
64,6.222366,6.000000,0.222366
65,5.046257,4.500374,0.545883
66,5.355556,6.397940,-1.042384
67,6.400976,6.447158,-0.046182
68,5.573847,7.267172,-1.693324
69,5.949516,5.045714,0.903802
70,6.208212,6.230449,-0.022236
71,4.193813,4.127105,0.066708
72,5.955473,6.000000,-0.044527
73,6.612104,5.715167,0.896936
74,6.017500,6.024046,-0.006547
75,2.540168,3.645422,-1.105255
76,4.182317,3.146128,1.036189
77,2.539840,2.875061,-0.335221
78,3.510633,3.301030,0.209603
79,4.053501,3.313867,0.739634
80,4.457996,5.905796,-1.447800
