idx,y_pred,y_true,residual
0,4.658549,5.698970,-1.040421
1,3.945860,3.049218,0.896642
2,3.945695,2.903090,1.042605
3,4.931130,2.954243,1.976887
4,5.225067,3.908485,1.316582
5,4.709805,3.322219,1.387586
6,4.805886,5.301030,-0.495144
7,5.144668,4.086360,1.058309
8,5.483050,6.035710,-0.552660
9,5.036225,5.954243,-0.918017
11,4.470830,5.742725,-1.271895
12,4.239465,3.661813,0.577653
13,4.854902,3.505150,1.349752
14,4.186764,5.094820,-0.908056
15,4.748555,3.397940,1.350615
16,5.234430,3.832509,1.401921
17,5.480816,5.602060,-0.121244
19,4.094730,3.079181,1.015549
20,3.601375,3.823474,-0.222099
21,4.299564,3.838849,0.460715
22,4.292894,3.505150,0.787744
23,4.730240,6.041393,-1.311153
24,5.239803,3.881385,1.358418
25,5.096892,5.576341,-0.479450
26,6.626189,6.823539,-0.197350
27,6.487219,6.397940,0.089279
28,6.305913,6.707570,-0.401657
29,6.731952,6.397940,0.334012
30,5.666523,6.558709,-0.892185
32,5.639081,4.193681,1.445400
33,6.311716,5.929419,0.382298
34,6.111580,6.531479,-0.419899
35,6.325614,6.414973,-0.089359
36,6.119847,6.372912,-0.253065
37,6.381477,6.384891,-0.003414
38,5.904565,6.325844,-0.421279
39,7.396409,7.000000,0.396409
40,6.578855,6.875061,-0.296207
42,6.853800,7.079181,-0.225381
43,5.545497,4.072985,1.472512
44,5.348527,5.113943,0.234583
45,3.917476,5.096910,-1.179434
46,5.243500,5.342423,-0.098923
47,5.909461,6.240549,-0.331088
49,5.981436,6.255273,-0.273836
50,5.407664,5.023541,0.384124
51,5.687806,6.313867,-0.626061
52,6.116252,6.361728,-0.245476
53,6.122669,6.602060,-0.479391
54,5.527081,6.649335,-1.122254
55,6.122339,6.041393,0.080946
56,5.448996,5.901295,-0.452299
57,5.217632,6.447158,-1.229527
58,5.833068,4.681241,1.151827
59,5.976494,5.815046,0.161448
60,5.402271,4.992819,0.409452
61,4.124264,3.204120,0.920144
62,6.102807,6.875061,-0.772254
63,6.604262,6.890980,-0.286717
64,6.218795,6.000000,0.218795
65,5.070106,4.500374,0.569733
66,5.489385,6.397940,-0.908555
67,6.289390,6.447158,-0.157768
68,5.520580,7.267172,-1.746591
69,5.898739,5.045714,0.853025
70,6.237699,6.230449,0.007250
71,4.119750,4.127105,-0.007355
72,5.906382,6.000000,-0.093618
73,6.534645,5.715167,0.819478
74,6.281033,6.024046,0.256987
75,2.481634,3.645422,-1.163788
76,4.125105,3.146128,0.978977
77,2.481304,2.875061,-0.393758
78,3.691438,3.301030,0.390408
79,3.971580,3.313867,0.657713
80,4.406608,5.905796,-1.499188
81,4.200841,2.698970,1.501871
82,3.501901,4.146128,-0.644227
84,3.907593,2.653213,1.254381
85,4.260598,2.108903,2.151695
86,4.010825,3.778151,0.232674
87,4.010660,3.301030,0.709630
89,4.431364,4.431364,0.000000
90,4.113614,4.423246,-0.309632
91,4.502734,4.431364,0.071370
92,4.359823,5.544068,-1.184245
93,3.773324,3.000000,0.773324
94,4.573328,3.158362,1.414966
95,3.731153,2.740363,0.990790
97,6.045812,5.375093,0.670719
98,6.260568,6.361728,-0.101160
99,5.973176,6.409933,-0.436757
100,6.823091,6.477121,0.345970
101,6.266948,7.021189,-0.754242
102,5.471379,3.413300,2.058079
103,5.048689,4.260071,0.788617
104,6.246688,6.000000,0.246688
105,6.163858,6.740363,-0.576504
106,6.478385,6.099232,0.379153
107,6.329598,6.431364,-0.101765
108,5.889629,4.646404,1.243225
109,6.323638,6.142702,0.180935
110,6.222998,6.431364,-0.208366
111,6.515247,6.192584,0.322663
112,6.234273,6.238046,-0.003773
113,6.178480,6.950851,-0.772372
114,6.265671,4.819544,1.446127
115,5.556391,4.716504,0.839887
116,6.184567,6.612784,-0.428217
117,6.076289,5.716003,0.360286
118,6.439363,6.397940,0.041423
119,5.860722,6.077259,-0.216537
120,6.227879,6.614897,-0.387018
121,5.487633,5.009026,0.478608
122,5.510398,5.373831,0.136567
123,5.977808,6.477121,-0.499313
124,5.894470,4.862251,1.032219
125,6.141445,6.466868,-0.325423
127,6.163254,6.079181,0.084073
128,5.948516,6.146128,-0.197612
130,5.787462,6.768638,-0.981176
132,6.193999,5.507073,0.686926
133,5.296756,5.083610,0.213145
134,6.276891,6.156852,0.120039
135,6.664673,5.676694,0.987980
136,7.252228,7.252853,-0.000625
137,6.490274,6.301030,0.189244
138,6.172209,6.477121,-0.304913
139,6.272016,6.361728,-0.089712
141,5.461529,4.396199,1.065329
143,6.180107,5.195457,0.984650
144,6.348974,5.643551,0.705423
145,5.506799,6.016197,-0.509398
146,6.656321,6.079181,0.577140
148,5.579669,6.000000,-0.420331
149,4.097755,4.113943,-0.016188
150,5.536572,6.577492,-1.040920
151,6.749120,5.472756,1.276363
152,6.392840,6.334454,0.058386
153,6.426457,7.276921,-0.850465
154,4.853756,4.819544,0.034212
157,7.169789,7.477121,-0.307332
159,7.438483,7.477121,-0.038638
160,6.478998,6.320146,0.158851
161,6.368148,6.397940,-0.029792
162,6.116600,6.113943,0.002657
163,6.478502,6.201397,0.277105
165,6.398269,6.474216,-0.075947
166,6.289991,6.004136,0.285855
167,6.500537,6.477121,0.023416
168,6.192171,6.434888,-0.242717
169,6.880853,8.122544,-1.241690
170,6.352640,6.281033,0.071606
171,6.272321,5.953421,0.318900
172,5.797501,6.518514,-0.721013
173,6.456420,6.556423,-0.100003
175,-0.135504,1.954243,-2.089746
176,2.313944,2.602060,-0.288116
177,2.374774,1.301030,1.073744
180,2.750832,2.146128,0.604704
182,3.082866,1.390935,1.691931
183,3.265801,2.955207,0.310595
184,3.089118,3.562293,-0.473174
185,2.800178,1.926857,0.873321
186,3.333821,1.146128,2.187693
187,3.438515,2.851258,0.587256
188,2.895262,2.000000,0.895262
189,3.782796,3.539452,0.243344
190,2.942943,1.380211,1.562732
191,2.831131,2.273233,0.557898
192,2.037216,2.579784,-0.542568
193,2.414655,0.633468,1.781186
194,4.882574,6.079181,-1.196607
196,4.882244,6.232234,-1.349990
197,4.924401,3.247973,1.676428
198,5.162220,6.302547,-1.140327
199,5.590666,4.598572,0.992094
200,4.802823,4.812913,-0.010090
201,4.954445,3.562293,1.392152
202,5.596753,6.806180,-1.209427
203,4.923410,5.782473,-0.859063
204,5.169148,6.054958,-0.885809
205,5.730649,6.151247,-0.420598
206,5.608168,3.903633,1.704535
207,4.545346,6.501059,-1.955713
208,5.243460,4.892762,0.350698
210,4.995820,3.480007,1.515814
211,4.291504,4.336460,-0.044956
212,5.301371,5.000000,0.301371
213,5.429968,6.000000,-0.570032
215,1.945971,1.778151,0.167820
216,3.154361,2.400538,0.753823
217,4.475642,3.000000,1.475642
218,4.790725,3.653213,1.137513
219,4.214672,5.000000,-0.785328
220,5.223800,5.149219,0.074581
221,3.174006,4.101747,-0.927741
222,5.654169,6.255273,-0.601104
223,5.676086,6.361728,-0.685642
224,6.311307,6.421604,-0.110297
225,6.389701,6.176091,0.213610
226,6.379321,6.113943,0.265377
227,6.309468,6.313867,-0.004399
228,6.290927,6.544068,-0.253141
229,6.179224,5.993877,0.185347
230,6.400220,6.544068,-0.143848
231,6.100495,6.187521,-0.087026
232,6.183686,6.526985,-0.343299
233,6.427409,6.100371,0.327039
234,4.827665,5.806180,-0.978515
235,5.805727,5.093422,0.712306
236,4.792791,3.963788,0.829003
237,5.589490,6.075145,-0.485656
238,6.895059,7.146128,-0.251069
239,4.676192,4.792392,-0.116200
240,6.623672,6.863323,-0.239651
241,6.151750,6.531479,-0.379729
242,6.121076,4.472025,1.649051
244,6.083290,6.266114,-0.182825
245,3.639356,3.397940,0.241416
246,6.223229,6.109916,0.113313
247,6.434646,6.539076,-0.104430
248,6.401405,6.342817,0.058588
249,3.138519,2.079181,1.059338
250,5.648962,5.202352,0.446610
251,6.365641,6.409764,-0.044123
252,6.666642,6.477121,0.189521
253,6.424105,6.137927,0.286179
254,6.423940,6.450711,-0.026771
255,6.424904,6.604226,-0.179322
256,6.868727,6.187521,0.681207
257,6.738307,6.278754,0.459553
258,6.501055,6.518514,-0.017459
259,5.998792,4.342423,1.656369
260,6.411856,5.651762,0.760093
261,6.023698,6.301969,-0.278271
262,6.807133,6.903090,-0.095957
263,5.929757,5.983175,-0.053418
264,6.647878,6.587711,0.060167
265,6.647713,6.584331,0.063382
266,5.386799,5.229426,0.157373
267,5.793474,6.136721,-0.343247
268,6.361489,5.000000,1.361489
269,6.253756,6.531479,-0.277723
270,5.793768,4.292256,1.501512
271,6.441767,6.371068,0.070699
272,6.272462,6.305351,-0.032890
273,6.360663,6.477121,-0.116458
274,6.785694,6.894106,-0.108411
275,6.168692,6.477121,-0.308429
276,5.542001,6.530840,-0.988839
277,6.865258,6.397940,0.467318
278,5.704476,5.681241,0.023235
279,6.645400,6.173186,0.472214
280,6.143468,6.591065,-0.447597
281,7.414236,7.074451,0.339785
283,6.462877,6.505150,-0.042273
284,5.414102,5.549003,-0.134901
286,6.525990,6.196729,0.329261
287,4.960682,4.968483,-0.007801
288,6.143386,6.568202,-0.424816
289,5.527616,4.913814,0.613803
292,6.401324,6.491362,-0.090038
293,5.811500,6.209515,-0.398015
295,6.289252,6.361728,-0.072476
297,6.491419,6.426511,0.064908
298,5.868869,6.095030,-0.226161
299,6.413211,6.223080,0.190131
300,6.319573,6.456366,-0.136793
301,5.659930,5.802774,-0.142844
302,5.949319,6.397940,-0.448621
303,5.974346,5.603642,0.370704
304,6.115675,6.206826,-0.091150
305,6.017180,6.342423,-0.325242
306,5.384217,6.301030,-0.916813
307,5.697804,6.505150,-0.807346
309,7.098699,7.100371,-0.001672
310,5.681373,5.836197,-0.154825
311,5.394073,6.054709,-0.660636
313,5.441409,6.133644,-0.692235
314,5.786499,6.322219,-0.535720
315,5.786334,5.880814,-0.094480
316,5.348605,6.477121,-1.128516
317,5.732505,4.602060,1.130445
318,6.038619,6.025306,0.013313
319,5.062913,5.477121,-0.414208
320,5.846852,6.505150,-0.658298
321,5.785343,6.812913,-1.027571
322,5.557919,5.178977,0.378942
324,5.447861,6.158393,-0.710532
325,4.730457,4.477121,0.253335
327,6.556263,6.086360,0.469903
328,6.190851,6.086360,0.104491
329,6.062637,6.319314,-0.256678
330,6.475312,6.477121,-0.001809
331,6.135043,6.374198,-0.239155
332,5.797497,6.397940,-0.600443
334,6.308951,5.528917,0.780034
335,6.468430,6.568202,-0.099771
336,5.393507,5.000000,0.393507
337,5.131032,6.079181,-0.948149
338,5.904197,4.814913,1.089283
339,5.846169,5.081707,0.764462
340,5.614782,6.384712,-0.769930
342,6.626361,5.671173,0.955188
343,5.741018,6.278754,-0.537736
344,5.728045,6.284656,-0.556612
345,5.772766,6.356026,-0.583260
347,6.203254,6.477121,-0.273867
349,5.824826,5.852175,-0.027349
350,5.585214,5.397940,0.187274
351,6.086294,6.139879,-0.053585
352,6.329237,6.273487,0.055749
353,6.440330,6.320624,0.119706
354,5.779967,6.602060,-0.822093
356,6.112069,6.301030,-0.188961
357,6.098298,6.397940,-0.299642
358,6.216708,6.454845,-0.238137
359,6.829701,8.146128,-1.316427
361,6.650643,6.272306,0.378337
362,6.829205,5.728256,1.100949
363,6.039384,5.717171,0.322213
364,5.471716,6.049218,-0.577502
365,5.312214,6.396199,-1.083985
366,6.575097,5.550228,1.024869
367,5.571026,5.575072,-0.004046
368,6.053627,6.100026,-0.046399
369,5.972183,4.860338,1.111845
371,6.231305,6.397940,-0.166635
372,5.802679,6.356026,-0.553347
373,5.167497,4.705864,0.461634
374,5.498259,4.833147,0.665112
376,5.893974,6.262024,-0.368049
378,6.441260,6.591065,-0.149805
379,6.481151,5.876218,0.604933
380,6.177073,6.104146,0.072928
381,5.676777,4.630123,1.046655
382,6.103191,6.591065,-0.487873
383,6.765848,5.978181,0.787667
384,6.297523,6.322219,-0.024697
385,6.046122,6.100026,-0.053904
386,6.399338,5.675778,0.723560
387,6.503027,6.000000,0.503027
388,5.931484,6.431364,-0.499880
389,6.600902,6.152594,0.448308
391,5.421227,4.491362,0.929865
392,4.822146,4.779019,0.043127
393,6.515277,6.556303,-0.041025
394,4.480918,4.850033,-0.369115
395,6.172129,6.278754,-0.106624
396,6.352116,6.462398,-0.110282
397,6.216696,6.399154,-0.182458
398,6.060885,6.397940,-0.337055
399,6.020883,5.880814,0.140070
400,5.973755,5.892095,0.081660
401,5.588464,5.716003,-0.127539
402,5.708216,6.696837,-0.988621
403,5.364167,5.530481,-0.166315
404,5.835431,6.465829,-0.630398
405,5.354520,6.591065,-1.236545
406,6.338691,6.919078,-0.580387
407,6.019422,6.301030,-0.281608
408,6.236346,6.380211,-0.143865
409,6.440295,6.204120,0.236175
411,5.664888,6.073106,-0.408218
412,5.240747,6.255273,-1.014525
413,6.416070,6.322219,0.093851
414,5.676589,5.866287,-0.189698
415,6.122406,6.318063,-0.195658
416,6.122240,6.368101,-0.245860
417,5.852186,6.378398,-0.526212
418,5.508707,6.326131,-0.817424
420,5.769063,6.396722,-0.627659
421,5.580500,5.619093,-0.038594
422,4.476292,3.698970,0.777322
424,6.077346,6.474755,-0.397409
425,5.624922,5.643453,-0.018531
426,5.552404,6.453318,-0.900914
427,5.125518,4.764176,0.361342
429,5.504488,6.039255,-0.534767
431,6.113275,6.387212,-0.273937
432,6.143791,5.575072,0.568719
433,6.333262,6.539076,-0.205814
434,5.578224,6.008600,-0.430377
436,6.231576,6.222456,0.009119
437,6.105722,5.276462,0.829260
438,6.348683,6.301030,0.047653
439,6.262348,5.275104,0.987244
440,5.619274,6.884795,-1.265522
441,6.857102,6.849419,0.007683
442,6.708316,6.797960,-0.089644
443,6.500749,7.505150,-1.004400
444,6.690742,6.517724,0.173018
445,6.275741,6.634981,-0.359240
446,6.559034,6.645275,-0.086241
448,6.495062,6.024896,0.470166
449,6.106660,7.385606,-1.278947
450,6.706994,6.284453,0.422541
451,6.623897,6.501059,0.122837
452,6.336608,6.501059,-0.164451
453,6.557878,6.716003,-0.158126
454,6.552082,6.397940,0.154142
455,6.657537,6.271656,0.385882
456,6.049653,6.269513,-0.219860
457,6.462717,6.322219,0.140498
459,6.413342,6.755875,-0.342533
460,6.413177,6.596047,-0.182870
462,6.357775,4.484300,1.873475
463,6.506409,6.227887,0.278523
