idx,y_pred,y_true,residual
0,4.979061,5.698970,-0.719909
1,4.023685,3.049218,0.974467
2,4.023504,2.903090,1.120414
3,5.025937,2.954243,2.071694
4,5.339928,3.908485,1.431443
5,4.700557,3.322219,1.378337
6,4.940335,5.301030,-0.360695
7,5.162105,4.086360,1.075746
8,5.707102,6.035710,-0.328607
9,5.088616,5.954243,-0.865627
10,5.537844,3.949390,1.588454
11,4.551590,5.742725,-1.191135
12,4.321792,3.661813,0.659979
13,4.934617,3.505150,1.429467
14,4.106246,5.094820,-0.988574
16,5.175438,3.832509,1.342929
17,5.463994,5.602060,-0.138066
18,4.314130,5.238046,-0.923917
19,4.012371,3.079181,0.933189
20,3.600902,3.823474,-0.222573
21,4.319398,3.838849,0.480549
22,4.290609,3.505150,0.785459
23,4.941421,6.041393,-1.099972
24,5.212229,3.881385,1.330845
25,5.148692,5.576341,-0.427649
26,6.539039,6.823539,-0.284500
27,6.501937,6.397940,0.103997
28,6.326657,6.707570,-0.380913
29,6.744124,6.397940,0.346184
30,5.611241,6.558709,-0.947468
31,5.611060,6.107549,-0.496489
32,5.840820,4.193681,1.647139
33,6.289578,5.929419,0.360159
34,6.156171,6.531479,-0.375307
35,6.292883,6.414973,-0.122091
36,6.149924,6.372912,-0.222988
37,6.384990,6.384891,0.000099
38,5.913726,6.325844,-0.412118
39,7.452960,7.000000,0.452960
40,6.647809,6.875061,-0.227252
41,6.632235,6.835056,-0.202822
42,7.238656,7.079181,0.159475
45,4.262487,5.096910,-0.834423
46,5.648680,5.342423,0.306258
47,6.020596,6.240549,-0.219954
48,4.279298,5.278754,-0.999456
49,5.973639,6.255273,-0.281634
50,5.257905,5.023541,0.234365
51,5.694854,6.313867,-0.619013
52,6.139938,6.361728,-0.221789
53,6.156403,6.602060,-0.445657
54,5.717179,6.649335,-0.932156
55,6.156041,6.041393,0.114649
57,5.316270,6.447158,-1.130888
58,5.929096,4.681241,1.247854
59,6.077759,5.815046,0.262713
60,5.423960,4.992819,0.431142
61,4.166745,3.204120,0.962625
62,6.166792,6.875061,-0.708270
63,6.717211,6.890980,-0.173769
64,6.207611,6.000000,0.207611
65,5.264771,4.500374,0.764398
66,5.492180,6.397940,-0.905760
68,5.662057,7.267172,-1.605115
69,5.911713,5.045714,0.865999
70,6.255056,6.230449,0.024607
71,4.100466,4.127105,-0.026638
72,5.961912,6.000000,-0.038088
73,6.601905,5.715167,0.886738
74,6.150115,6.024046,0.126069
75,2.533300,3.645422,-1.112122
77,2.532938,2.875061,-0.342123
78,3.511726,3.301030,0.210696
79,3.948675,3.313867,0.634808
80,4.410405,5.905796,-1.495391
81,4.267447,2.698970,1.568477
82,3.570633,4.146128,-0.575495
83,3.308250,3.243038,0.065212
84,3.989583,2.653213,1.336370
85,4.331942,2.108903,2.223039
86,4.151566,3.778151,0.373414
87,4.151385,3.301030,0.850355
88,4.420974,3.000000,1.420974
89,4.431364,4.431364,0.000000
90,4.142700,4.423246,-0.280546
91,4.461613,4.431364,0.030250
92,4.398076,5.544068,-1.145992
93,3.746182,3.000000,0.746182
94,4.605208,3.158362,1.446845
95,3.899596,2.740363,1.159234
96,3.915878,3.623249,0.292628
97,5.918366,5.375093,0.543273
98,6.203643,6.361728,-0.158084
99,5.964600,6.409933,-0.445333
102,5.201909,3.413300,1.788609
103,5.104207,4.260071,0.844136
104,6.161476,6.000000,0.161476
105,6.257106,6.740363,-0.483257
106,6.461655,6.099232,0.362423
108,5.976167,4.646404,1.329763
109,6.228050,6.142702,0.085347
110,6.236427,6.431364,-0.194937
111,6.468320,6.192584,0.275736
112,6.125688,6.238046,-0.112358
113,6.082315,6.950851,-0.868536
114,6.146321,4.819544,1.326777
115,5.630678,4.716504,0.914173
116,6.098418,6.612784,-0.514366
117,6.025109,5.716003,0.309106
118,6.124315,6.397940,-0.273625
119,5.774572,6.077259,-0.302687
120,6.147402,6.614897,-0.467495
121,5.425287,5.009026,0.416261
122,5.487542,5.373831,0.113710
124,5.870569,4.862251,1.008318
125,6.209615,6.466868,-0.257252
126,6.299203,5.188084,1.111118
127,6.124868,6.079181,0.045687
129,6.018509,5.326336,0.692173
130,5.838133,6.768638,-0.930505
131,6.107722,5.485721,0.622001
132,6.172975,5.507073,0.665902
133,5.260132,5.083610,0.176522
134,6.313522,6.156852,0.156670
135,6.657599,5.676694,0.980905
136,7.310440,7.252853,0.057587
137,6.652938,6.301030,0.351908
138,5.886590,6.477121,-0.590531
139,6.109220,6.361728,-0.252508
140,5.803131,6.079181,-0.276050
142,6.142655,6.147058,-0.004403
143,6.093537,5.195457,0.898080
144,6.290690,5.643551,0.647139
145,5.585079,6.016197,-0.431119
146,6.311034,6.079181,0.231853
147,5.944049,6.146128,-0.202079
148,5.600999,6.000000,-0.399001
149,4.124773,4.113943,0.010829
150,5.847676,6.577492,-0.729816
151,6.647848,5.472756,1.175092
152,6.278045,6.334454,-0.056409
153,6.388223,7.276921,-0.888698
154,4.845941,4.819544,0.026398
155,7.023605,7.483587,-0.459982
156,7.758329,8.041393,-0.283063
157,7.202456,7.477121,-0.274665
158,7.218732,6.479394,0.739339
159,7.578575,7.477121,0.101454
160,6.628511,6.320146,0.308365
161,6.217149,6.397940,-0.180791
162,6.200480,6.113943,0.086537
164,6.556502,6.986772,-0.430270
165,6.450327,6.474216,-0.023889
166,6.377018,6.004136,0.372882
167,6.453209,6.477121,-0.023912
168,6.307008,6.434888,-0.127881
169,7.012219,8.122544,-1.110324
171,6.297447,5.953421,0.344026
172,5.957427,6.518514,-0.561087
173,6.493145,6.556423,-0.063278
174,6.382192,6.348305,0.033887
176,1.811397,2.602060,-0.790663
177,2.109635,1.301030,0.808605
178,2.011933,1.954918,0.057015
179,3.034860,2.000000,1.034860
180,2.786181,2.146128,0.640053
181,2.642886,3.164353,-0.521466
182,2.991126,1.390935,1.600191
183,2.884469,2.955207,-0.070737
186,3.382754,1.146128,2.236626
187,3.209459,2.851258,0.358201
189,3.768341,3.539452,0.228888
190,2.928765,1.380211,1.548554
191,2.653227,2.273233,0.379994
192,2.116501,2.579784,-0.463283
193,2.497685,0.633468,1.864217
194,4.469724,6.079181,-1.609457
195,5.231692,5.023952,0.207740
196,4.469363,6.232234,-1.762871
197,4.758430,3.247973,1.510457
200,4.804831,4.812913,-0.008083
201,4.808135,3.562293,1.245842
202,5.367318,6.806180,-1.438862
204,5.331128,6.054958,-0.723829
205,5.744358,6.151247,-0.406889
206,5.444045,3.903633,1.540412
207,4.476952,6.501059,-2.024107
208,5.222170,4.892762,0.329408
209,7.221470,7.068186,0.153284
211,4.160792,4.336460,-0.175668
213,5.739495,6.000000,-0.260505
214,3.389619,5.445604,-2.055986
215,2.005244,1.778151,0.227092
216,3.020769,2.400538,0.620231
217,4.594857,3.000000,1.594857
218,4.953891,3.653213,1.300679
219,4.212130,5.000000,-0.787870
221,3.278150,4.101747,-0.823597
222,5.828797,6.255273,-0.426476
223,5.577312,6.361728,-0.784416
224,6.367028,6.421604,-0.054576
225,6.491804,6.176091,0.315712
227,6.314162,6.313867,0.000295
228,6.325997,6.544068,-0.218071
229,6.169024,5.993877,0.175147
230,6.328579,6.544068,-0.215489
232,6.161463,6.526985,-0.365522
233,6.382530,6.100371,0.282160
234,4.754101,5.806180,-1.052079
235,5.776775,5.093422,0.683353
236,4.740274,3.963788,0.776486
237,5.484860,6.075145,-0.590286
238,6.899306,7.146128,-0.246822
240,6.792063,6.863323,-0.071260
241,6.183304,6.531479,-0.348175
242,6.134245,4.472025,1.662220
243,5.908158,5.315970,0.592187
245,3.722443,3.397940,0.324503
246,6.135805,6.109916,0.025889
247,6.429883,6.539076,-0.109193
248,6.645609,6.342817,0.302791
249,3.056547,2.079181,0.977365
250,5.419529,5.202352,0.217177
251,6.370712,6.409764,-0.039053
252,6.763278,6.477121,0.286157
253,6.378915,6.137927,0.240988
254,6.378734,6.450711,-0.071977
255,6.383192,6.604226,-0.221034
256,6.730931,6.187521,0.543410
257,6.484159,6.278754,0.205405
258,6.445489,6.518514,-0.073025
260,6.343308,5.651762,0.691545
261,6.094629,6.301969,-0.207340
262,6.572975,6.903090,-0.330115
263,6.019296,5.983175,0.036121
264,6.606316,6.587711,0.018605
265,6.606135,6.584331,0.021804
266,5.168465,5.229426,-0.060961
267,5.805508,6.136721,-0.331212
268,6.315315,5.000000,1.315315
269,6.151152,6.531479,-0.380327
270,5.648092,4.292256,1.355836
271,6.362314,6.371068,-0.008754
272,6.611307,6.305351,0.305955
273,6.314411,6.477121,-0.162710
275,6.475610,6.477121,-0.001511
276,5.622277,6.530840,-0.908563
277,6.727134,6.397940,0.329194
278,5.773735,5.681241,0.092494
279,6.603604,6.173186,0.430418
280,6.152006,6.591065,-0.439058
281,7.425991,7.074451,0.351541
282,6.243242,6.486487,-0.243245
283,6.608477,6.505150,0.103327
284,5.442058,5.549003,-0.106945
285,6.175168,6.190332,-0.015164
286,6.423497,6.196729,0.226768
287,4.967932,4.968483,-0.000551
288,6.194779,6.568202,-0.373423
289,5.377028,4.913814,0.463214
290,6.311338,6.207581,0.103757
291,6.724603,6.225309,0.499294
292,6.637362,6.491362,0.146000
293,5.789917,6.209515,-0.419598
294,6.371503,6.230449,0.141054
295,6.291006,6.361728,-0.070722
296,6.237125,5.089905,1.147219
299,6.518816,6.223080,0.295736
300,6.365402,6.456366,-0.090964
301,5.637121,5.802774,-0.165652
302,5.897492,6.397940,-0.500448
303,5.859761,5.603642,0.256119
304,6.256211,6.206826,0.049385
305,5.953433,6.342423,-0.388990
306,5.338076,6.301030,-0.962954
307,5.638051,6.505150,-0.867099
308,6.182222,6.176091,0.006131
309,7.087526,7.100371,-0.012844
310,5.697930,5.836197,-0.138268
311,5.311651,6.054709,-0.743058
312,6.530332,6.477121,0.053211
313,5.316622,6.133644,-0.817022
314,5.640138,6.322219,-0.682082
315,5.639957,5.880814,-0.240857
316,5.279237,6.477121,-1.197884
317,5.442931,4.602060,0.840871
318,5.933334,6.025306,-0.091972
319,5.049446,5.477121,-0.427676
320,5.841787,6.505150,-0.663363
321,5.638872,6.812913,-1.174041
322,5.526285,5.178977,0.347308
323,5.619598,5.365488,0.254110
325,4.407669,4.477121,-0.069452
326,5.685083,4.453624,1.231459
327,6.516338,6.086360,0.429978
328,6.247782,6.086360,0.161422
329,6.077884,6.319314,-0.241431
330,6.279986,6.477121,-0.197135
333,5.201952,5.187521,0.014431
334,6.416207,5.528917,0.887291
335,6.080626,6.568202,-0.487576
336,5.248428,5.000000,0.248428
337,5.090154,6.079181,-0.989027
338,5.777425,4.814913,0.962512
339,6.028128,5.081707,0.946421
340,5.597724,6.384712,-0.786988
341,6.010948,6.342423,-0.331475
342,6.392345,5.671173,0.721172
343,5.658495,6.278754,-0.620258
345,5.604051,6.356026,-0.751975
346,5.632029,5.671173,-0.039144
347,6.223474,6.477121,-0.253647
348,4.981328,5.000000,-0.018672
349,5.874191,5.852175,0.022016
353,6.320630,6.320624,0.000006
354,5.797568,6.602060,-0.804492
355,6.377036,6.337459,0.039577
356,6.262603,6.301030,-0.038427
357,6.217057,6.397940,-0.180883
358,6.154267,6.454845,-0.300577
359,6.861479,8.146128,-1.284649
360,4.957497,4.582063,0.375434
361,6.741112,6.272306,0.468807
362,6.860937,5.728256,1.132680
363,6.160145,5.717171,0.442974
364,5.451972,6.049218,-0.597246
365,5.143622,6.396199,-1.252577
366,6.408604,5.550228,0.858376
368,6.031339,6.100026,-0.068686
369,5.698882,4.860338,0.838544
370,6.834630,6.489958,0.344672
372,5.842584,6.356026,-0.513442
373,5.104893,4.705864,0.399029
374,5.539825,4.833147,0.706678
375,6.078179,6.182671,-0.104492
376,6.041846,6.262024,-0.220178
377,5.880828,6.408240,-0.527412
378,6.348626,6.591065,-0.242439
379,6.387500,5.876218,0.511283
380,6.128483,6.104146,0.024337
381,5.493635,4.630123,0.863513
382,5.986771,6.591065,-0.604294
384,6.284185,6.322219,-0.038035
385,5.969961,6.100026,-0.130064
386,6.362847,5.675778,0.687069
387,6.391657,6.000000,0.391657
388,5.895195,6.431364,-0.536169
389,6.596644,6.152594,0.444050
390,6.480728,6.732394,-0.251666
391,5.413004,4.491362,0.921642
392,5.113618,4.779019,0.334599
393,6.534758,6.556303,-0.021545
394,4.475183,4.850033,-0.374850
395,6.341293,6.278754,0.062539
396,6.034961,6.462398,-0.427437
397,6.161265,6.399154,-0.237890
399,6.002893,5.880814,0.122079
400,6.003093,5.892095,0.110998
401,5.185513,5.716003,-0.530490
402,5.629217,6.696837,-1.067620
403,5.143698,5.530481,-0.386784
404,6.016377,6.465829,-0.449452
405,5.290671,6.591065,-1.300393
406,6.290367,6.919078,-0.628711
407,5.981683,6.301030,-0.319347
408,6.200606,6.380211,-0.179605
409,6.415131,6.204120,0.211011
410,6.478650,6.301030,0.177620
411,5.781366,6.073106,-0.291740
412,5.139930,6.255273,-1.115342
414,6.000557,5.866287,0.134270
415,6.171819,6.318063,-0.146244
416,6.171638,6.368101,-0.196462
417,5.887003,6.378398,-0.491394
418,5.534606,6.326131,-0.791525
419,5.721682,4.354108,1.367574
421,5.621004,5.619093,0.001911
422,4.470121,3.698970,0.771151
423,5.914217,5.766785,0.147433
424,6.138348,6.474755,-0.336407
425,5.671970,5.643453,0.028517
428,5.794755,6.227115,-0.432360
430,5.859887,6.079181,-0.219294
431,6.044050,6.387212,-0.343161
432,6.144371,5.575072,0.569298
433,6.269151,6.539076,-0.269925
434,5.771324,6.008600,-0.237276
435,6.238158,6.113943,0.124215
436,6.409193,6.222456,0.186737
437,6.303015,5.276462,1.026553
438,6.433590,6.301030,0.132560
440,5.718158,6.884795,-1.166637
441,6.946009,6.849419,0.096589
442,6.690393,6.797960,-0.107566
443,6.530514,7.505150,-0.974636
444,6.694006,6.517724,0.176282
445,6.315349,6.634981,-0.319632
446,6.434236,6.645275,-0.211039
447,5.188556,6.270679,-1.082123
448,6.505160,6.024896,0.480264
449,6.098565,7.385606,-1.287041
450,6.688947,6.284453,0.404494
452,6.451660,6.501059,-0.049400
454,6.455161,6.397940,0.057221
455,6.612928,6.271656,0.341272
456,6.213269,6.269513,-0.056244
457,6.352800,6.322219,0.030581
458,6.309427,5.337459,0.971968
459,6.325892,6.755875,-0.429983
460,6.325711,6.596047,-0.270336
461,6.252402,6.372912,-0.120510
