SMILE A,SMILE B,SMILE C,Young's Modulus (kPa) log10,Swelling Ratio (times),Source,Young's Modulus (kPa)
C/C(C[*])=C/C[*],[*]CC=CCCC(C1=CC=CC=C1)[*],,3.0791812460476247,,10.4028_www.scientific.net_msf.695.332_part_1.txt_段1_Material1,1199.9999999999995
CC(C=C([*])C=C1C)=C1O[*],[*]CC(CC(C#N)[*])C1=CC=CC=C1,,6.3979400086720375,,10.1007_s00396-021-04820-x_part_2.txt_段1_Material2,2499999.9999999995
CC(COC(C(CC(C(C(C(OC(C)C)=O)C1=CC=CC=C1)C(OCC(OC(C2=CC=CC=C2C(O)=O)=O)C)=O)C3=CC=CC=C3)C(C(OC(C)C[*])=O)C4=CC=CC=C4)=O)OC(C5=CC=CC=C5C(O[*])=O)=O,COC(C(C[*])([*])C)=O,,6.531478917042255,,10.1016_j.polymer.2015.07.016_part_1.txt_段1_Material3,3400000.000000002
CC(COC(C(CC(C(C(C(OC(C)C)=O)C1=CC=CC=C1)C(OCC(OC(C2=CC=CC=C2C(O)=O)=O)C)=O)C3=CC=CC=C3)C(C(OC(C)C[*])=O)C4=CC=CC=C4)=O)OC(C5=CC=CC=C5C(O[*])=O)=O,OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,,6.414973347970818,,10.3390_polym13111878_part_2.txt_段1_Material1,2600000.0000000014
CC(COC(C(CC(C(C(C(OC(C)C)=O)C1=CC=CC=C1)C(OCC(OC(C2=CC=CC=C2C(O)=O)=O)C)=O)C3=CC=CC=C3)C(C(OC(C)C[*])=O)C4=CC=CC=C4)=O)OC(C5=CC=CC=C5C(O[*])=O)=O,[*]C(F)(C(F)([*])F)F,,6.372912002970106,,10.1016_j.triboint.2016.03.013_part_1.txt_段1_Material1,2359999.9999999986
COC(C(C[*])([*])C)=O,O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],,6.2552725051033065,,10.1590_0104-1428.1924_part_1.txt_段1_Material2,1800000.0000000016
COC(C(C[*])([*])C)=O,[*]CC(C1=CC=CC=C1)[*],,6.8750612633917,,10.1007_s10570-010-9487-6_part_1.txt_段1_Material1,7500000.000000001
COC(C(C[*])([*])C)=O,[*]CC(COC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*])O,,6.8909795969896885,,10.1016_j.jngse.2020.103790_part_1.txt_段1_Material1,7779999.999999993
C[Si](C)(C[*])O[*],[*]CC(COC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*])O,,5.715167357848458,,10.1002_app.48641_part_1.txt_段1_Material1,518999.99999999977
C[Si](O[*])(C)[*],[*]CC(C1=CC=CC=C1)[*],,3.0,,10.1007_s10404-018-2152-3_part_1.txt_段1_Material1,1000.0
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],CC(C=C([*])C=C1C)=C1O[*],,6.361727836017593,,10.1007_s13233-020-8075-3_part_2.txt_段1_Material2,2300000.000000001
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],COC(C(C[*])([*])C)=O,,6.409933123331294,,10.1016_j.polymdegradstab.2017.11.001_part_6.txt_段1_Material1,2569999.9999999977
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],O=C(C1=CC=C2C=C(C=CC2=C1)C([*])=O)OCCO[*],,6.477121254719663,,10.4028_www.scientific.net_amr.912-914.445_part_3.txt_段1_Material2,3000000.000000001
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],O=C(CCCCC(N(CCCCCCN([*])[H])[H])=O)[*],,7.021189299069938,,10.1590_1516-1439.281914_part_2.txt_段1_Material2,10500000.000000006
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],O=C(O)C([*])C[*],,4.260071387985075,,10.1016_j.reactfunctpolym.2017.11.001_part_1.txt_段1_Material4,18200.00000000001
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],O=C([*])C(C)O[*],,6.0,,10.1051_matecconf_201925302005_part_1.txt_段1_Material1,1000000.0
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],O=C([*])C1=CC=C(C=C1)OC2=CC=C(C=C2)OC3=CC=C(C=C3)[*],,6.740362689494244,,10.1177_0954008316661616_part_3.txt_段1_Material1,5500000.000000004
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],O=C([*])C1=CC=C2C=C(C=CC2=C1)OC(C3=CC=C(C=C3)O[*])=O,,6.099231615080882,,10.1016_j.compscitech.2012.01.008_part_1.txt_段1_Material1,1256699.9999999998
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],O=C([*])CCCCCN[*],,6.431363764158987,,10.1016_j.compositesb.2021.108928_part_1.txt_段1_Material1,2699999.9999999977
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],O=C([*])OC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*],,6.142702245737616,,10.4028_www.scientific.net_amr.750-752.858_part_1.txt_段1_Material1,1389000.0000000012
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],OC(C(C)(CC(C1=CC=CC=C1)[*])CC(C[*])(C(OCC2CO2)=O)C)=O,,6.238046103128795,,10.1021_acs.iecr.8b06362_part_2.txt_段1_Material1,1729999.9999999986
