cluster_file,total,SR_ge_9,YM_100_2000,prob_SR,prob_YM
cluster_0.csv,286,1,5,0.0034965034965034965,0.017482517482517484
cluster_1.csv,360,33,11,0.09166666666666666,0.030555555555555555
cluster_2.csv,281,13,19,0.046263345195729534,0.06761565836298933
cluster_3.csv,270,8,6,0.02962962962962963,0.022222222222222223
cluster_4.csv,37,0,2,0.0,0.05405405405405406
cluster_5.csv,69,12,8,0.17391304347826086,0.11594202898550725
