SMILE A,SMILE B,SMILE C,Young's Modulus (kPa) log10,Swelling Ratio (times),Source,Young's Modulus (kPa)
C/C(C[*])=C/C[*],O=C(CCCCC(N(CCCCCCN([*])[H])[H])=O)[*],,3.90848501887865,,10.1080_00218464.2019.1707674_part_2.txt_段1_Material1,8100.000000000004
C/C(C[*])=C/C[*],[*]C(CCCCCO[*])=O,,5.742725131304698,,10.1016_j.polymertesting.2017.04.024_part_1.txt_段1_Material1,552999.9999999995
CC(NC(C([*])C)=O)C(NC(C)C(NC(C)C(N[*])=O)=O)=O,[*]C([H])([H])C(O)([H])[*],,6.8750612633917,,10.1515_epoly.2010.10.1.1567_part_1.txt_段1_Material1,7500000.000000001
CC(NC(C([*])C)=O)C(NC(C)C(NC(C)C(N[*])=O)=O)=O,[H]N(C([H])([H])C(N([H])C(C)([H])C(N(C([H])([H])C([*])=O)[H])=O)=O)C(C(N([*])[H])(C)[H])=O,,6.835056101720117,,10.1016_j.matdes.2019.108077_part_1.txt_段1_Material1,6840000.000000006
CCCCCCC1=C(SC([*])=C1)[*],C[Si](O[*])(C)[*],,5.096910013008056,,10.1021_acs.macromol.9b02573_part_2.txt_段1_Material1,124999.99999999996
CCCCCCC1=C(SC([*])=C1)[*],[H]N(C(O[*])=O)CCCCCCN(C(OCCCCO[*])=O)[H],,5.342422680822207,,10.3390_polym11071195_part_2.txt_段1_Material2,220000.0000000002
COC(C(C[*])([*])C)=O,O=C(N1C(C([*])=O)CC(O)C1)CNC(C2CCCN2[*])=O,,5.023540521554854,,10.1016_j.msec.2019.110378_part_1.txt_段1_Material1,105570.0
COC(C(C[*])([*])C)=O,[*]C(CCCCCO[*])=O,,5.901294817165567,,10.1111_ijac.13298_part_2.txt_段1_Material1,796700.0000000001
COC(C(C[*])([*])C)=O,[*]OCCOC(CC(C([*])=O)C(C1CCCCC1)CC(CC(O)=O)C(OCCO)=O)=O,,6.447158031342219,,10.1002_app.51237_part_2.txt_段1_Material2,2800000.0000000014
COC(C(C[*])([*])C)=O,[H]N(C(O[*])=O)CCCCCCN(C(OCCCCO[*])=O)[H],,7.267171728403014,,10.32434_0321-4095-2020-133-6-83-90_OA_part_2.txt_段1_Material3,18500000.0
COC(C(C[*])([*])C)=O,[H]N(C([H])([H])C(N([H])C(C)([H])C(N(C([H])([H])C([*])=O)[H])=O)=O)C(C(N([*])[H])(C)[H])=O,,5.045714058940868,,10.1177_0731684415577236_part_2.txt_段1_Material1,111100.00000000022
