idx,y_pred,y_true,residual
0,5.526399,5.698970,-0.172571
1,4.345881,3.049218,1.296663
4,5.505265,3.908485,1.596780
8,5.672644,6.035710,-0.363066
9,5.244182,5.954243,-0.710061
10,5.625242,3.949390,1.675852
11,4.738639,5.742725,-1.004086
13,5.078592,3.505150,1.573442
14,4.150770,5.094820,-0.944050
15,4.941599,3.397940,1.543659
16,5.346952,3.832509,1.514443
17,5.517668,5.602060,-0.084392
18,4.498687,5.238046,-0.739359
19,3.978552,3.079181,0.899371
20,3.601562,3.823474,-0.221912
21,4.397664,3.838849,0.558815
22,4.567016,3.505150,1.061866
23,4.995430,6.041393,-1.045962
26,6.995919,6.823539,0.172379
28,6.387255,6.707570,-0.320315
29,6.801727,6.397940,0.403787
30,5.650065,6.558709,-0.908643
31,5.649901,6.107549,-0.457648
32,5.637030,4.193681,1.443348
33,6.273934,5.929419,0.344515
34,6.181116,6.531479,-0.350362
35,6.344399,6.414973,-0.070574
36,6.106040,6.372912,-0.266872
37,6.383061,6.384891,-0.001830
38,5.906737,6.325844,-0.419107
40,6.825744,6.875061,-0.049317
41,6.882610,6.835056,0.047554
42,6.656410,7.079181,-0.422771
43,5.469401,4.072985,1.396416
44,5.557498,5.113943,0.443555
45,4.117245,5.096910,-0.979665
46,5.363482,5.342423,0.021060
48,4.381411,5.278754,-0.897343
49,6.009342,6.255273,-0.245930
50,5.332189,5.023541,0.308649
51,5.951534,6.313867,-0.362333
52,6.217340,6.361728,-0.144388
53,6.248782,6.602060,-0.353278
54,5.896446,6.649335,-0.752889
56,5.605237,5.901295,-0.296058
57,5.354463,6.447158,-1.092695
58,5.945189,4.681241,1.263948
59,6.086011,5.815046,0.270965
60,5.470594,4.992819,0.477776
61,4.154873,3.204120,0.950753
62,6.164850,6.875061,-0.710211
63,6.635240,6.890980,-0.255739
64,6.325465,6.000000,0.325465
65,5.181146,4.500374,0.680772
67,6.329607,6.447158,-0.117551
68,5.624518,7.267172,-1.642653
69,6.000408,5.045714,0.954694
70,6.230586,6.230449,0.000137
71,4.089478,4.127105,-0.037627
73,6.512665,5.715167,0.797498
74,6.146936,6.024046,0.122890
75,2.672216,3.645422,-0.973206
76,4.255871,3.146128,1.109743
77,2.671887,2.875061,-0.203175
78,3.622830,3.301030,0.321800
79,4.242175,3.313867,0.928307
80,4.539588,5.905796,-1.366208
81,4.301228,2.698970,1.602258
82,3.645598,4.146128,-0.500531
83,3.384512,3.243038,0.141474
84,3.969743,2.653213,1.316530
86,4.099167,3.778151,0.321015
87,4.099002,3.301030,0.797972
88,4.455820,3.000000,1.455820
89,4.431364,4.431364,-0.000000
90,4.103411,4.423246,-0.319835
91,4.616270,4.431364,0.184907
92,4.454219,5.544068,-1.089849
93,3.773803,3.000000,0.773803
94,4.620412,3.158362,1.462050
95,3.786220,2.740363,1.045857
96,3.915159,3.623249,0.291910
97,5.924785,5.375093,0.549693
98,6.273466,6.361728,-0.088262
99,6.001107,6.409933,-0.408826
100,6.791411,6.477121,0.314289
101,6.286647,7.021189,-0.734542
102,5.246974,3.413300,1.833674
103,4.960790,4.260071,0.700719
104,6.178296,6.000000,0.178296
105,5.946842,6.740363,-0.793521
107,6.279579,6.431364,-0.151785
108,5.816513,4.646404,1.170110
109,6.209238,6.142702,0.066536
110,6.284978,6.431364,-0.146386
111,6.120604,6.192584,-0.071981
112,6.144378,6.238046,-0.093669
113,6.130642,6.950851,-0.820210
114,6.074657,4.819544,1.255113
115,5.647764,4.716504,0.931260
116,6.161755,6.612784,-0.451029
117,6.023753,5.716003,0.307749
118,6.172944,6.397940,-0.224996
119,5.617479,6.077259,-0.459780
121,5.374002,5.009026,0.364976
122,5.517716,5.373831,0.143884
123,5.922407,6.477121,-0.554714
124,5.857668,4.862251,0.995417
125,6.105784,6.466868,-0.361083
126,6.344967,5.188084,1.156882
127,6.188751,6.079181,0.109570
128,5.802223,6.146128,-0.343905
129,5.997831,5.326336,0.671495
130,5.720016,6.768638,-1.048622
131,6.076835,5.485721,0.591113
132,6.160388,5.507073,0.653315
133,5.078587,5.083610,-0.005023
134,6.219277,6.156852,0.062425
135,6.546731,5.676694,0.870037
137,6.499624,6.301030,0.198594
140,5.706510,6.079181,-0.372671
141,5.292082,4.396199,0.895883
142,6.059287,6.147058,-0.087770
143,6.157308,5.195457,0.961851
144,6.240274,5.643551,0.596722
145,5.406082,6.016197,-0.610116
146,6.474947,6.079181,0.395766
147,5.901881,6.146128,-0.244247
148,5.534691,6.000000,-0.465309
149,4.058981,4.113943,-0.054962
150,6.471731,6.577492,-0.105760
151,6.925459,5.472756,1.452702
152,6.420511,6.334454,0.086057
153,6.522607,7.276921,-0.754314
154,4.815462,4.819544,-0.004082
155,7.048220,7.483587,-0.435367
156,7.649307,8.041393,-0.392086
157,7.286806,7.477121,-0.190315
158,7.206816,6.479394,0.727422
159,7.409897,7.477121,-0.067224
160,6.639450,6.320146,0.319304
161,6.408238,6.397940,0.010298
162,6.232324,6.113943,0.118381
163,6.638956,6.201397,0.437559
164,6.632711,6.986772,-0.354061
165,6.516205,6.474216,0.041989
166,6.378203,6.004136,0.374066
168,6.277516,6.434888,-0.157372
169,6.903651,8.122544,-1.218892
170,6.431989,6.281033,0.150956
172,5.893259,6.518514,-0.625255
173,6.450614,6.556423,-0.105809
174,6.421375,6.348305,0.073070
175,0.038523,1.954243,-1.915719
176,2.491289,2.602060,-0.110771
177,2.297913,1.301030,0.996883
178,2.011730,1.954918,0.056813
179,3.196635,2.000000,1.196635
180,2.799997,2.146128,0.653869
181,2.581681,3.164353,-0.582672
182,3.182570,1.390935,1.791635
183,2.789673,2.955207,-0.165534
184,3.213848,3.562293,-0.348445
185,2.910914,1.926857,0.984057
186,3.740383,1.146128,2.594255
187,3.398213,2.851258,0.546954
188,2.864268,2.000000,0.864268
189,3.807331,3.539452,0.267879
190,3.051076,1.380211,1.670865
191,2.934591,2.273233,0.661359
192,2.146870,2.579784,-0.432913
194,4.554833,6.079181,-1.524348
195,5.308308,5.023952,0.284356
196,4.554504,6.232234,-1.677730
197,4.828375,3.247973,1.580402
198,5.173684,6.302547,-1.128864
199,5.439489,4.598572,0.840918
200,4.812504,4.812913,-0.000410
201,4.839552,3.562293,1.277259
202,5.470603,6.806180,-1.335577
203,4.827387,5.782473,-0.955086
204,5.135134,6.054958,-0.919824
205,5.739094,6.151247,-0.412153
206,5.471212,3.903633,1.567580
207,4.404119,6.501059,-2.096940
208,5.392113,4.892762,0.499351
209,7.119392,7.068186,0.051207
210,4.847492,3.480007,1.367485
212,5.387832,5.000000,0.387832
214,3.314412,5.445604,-2.131192
216,2.937038,2.400538,0.536500
217,4.395184,3.000000,1.395184
218,4.661065,3.653213,1.007852
219,3.951358,5.000000,-1.048642
220,5.216272,5.149219,0.067053
221,3.088863,4.101747,-1.012884
223,5.649655,6.361728,-0.712072
225,6.462354,6.176091,0.286262
226,6.368842,6.113943,0.254898
228,6.256988,6.544068,-0.287080
229,6.203231,5.993877,0.209354
230,6.305194,6.544068,-0.238875
231,6.028549,6.187521,-0.158972
232,6.246564,6.526985,-0.280421
233,6.411713,6.100371,0.311342
234,5.000692,5.806180,-0.805488
235,5.937363,5.093422,0.843941
236,4.859787,3.963788,0.895999
237,5.647662,6.075145,-0.427483
238,7.110467,7.146128,-0.035661
239,4.769098,4.792392,-0.023294
240,6.517180,6.863323,-0.346143
241,6.232384,6.531479,-0.299095
243,5.752150,5.315970,0.436179
244,6.110962,6.266114,-0.155153
245,3.594249,3.397940,0.196309
246,6.154909,6.109916,0.044993
247,6.423917,6.539076,-0.115159
248,6.341031,6.342817,-0.001787
249,3.217707,2.079181,1.138526
250,5.477261,5.202352,0.274909
251,6.350214,6.409764,-0.059550
252,6.362743,6.477121,-0.114378
253,6.408419,6.137927,0.270492
254,6.408254,6.450711,-0.042457
255,6.134227,6.604226,-0.469999
257,6.642549,6.278754,0.363795
259,5.997184,4.342423,1.654761
261,5.978027,6.301969,-0.323942
262,6.755803,6.903090,-0.147287
263,5.954533,5.983175,-0.028642
264,6.659162,6.587711,0.071451
265,6.658997,6.584331,0.074666
266,5.160736,5.229426,-0.068690
